Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_deposition,k_wet_deposition
Coast_Surface_Water,freeMP,mp1,1.2155358806115764e-14,"[0.0, 0.0, 0.0, 0.0, 0.0]",3.33734011340317e-07,0.0,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp2,1.2155358806115762e-12,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",1.1118025127523729e-06,0.0,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp3,1.2155358806115764e-10,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",0.00012764702464231281,0.0,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp4,1.2155358806115764e-08,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",0.38392423223381367,0.0,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp5,1.2155358806115764e-06,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941155e-08, 0.0]",3254.058934010573,0.0,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp1,1.2155358806115764e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.2871664546673086e-15,1.1574074074074074e-06,0.0,1e-06,4.251929149100119e-06,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp2,1.2155358806115763e-13,"[2.528451797958585e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.5496755613912154e-15,1.1574074074074074e-06,0.0,1e-06,3.707908069447892e-06,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp3,1.2155358806115764e-11,"[7.935514617141138e-11, 7.935514617141138e-11, 0.0, 0.0, 0.0]",0.0,1.2689918968268753e-13,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp4,1.2155358806115764e-09,"[9.512947284918178e-10, 3.1709824283060594e-10, 3.1709824283060594e-10, 0.0, 0.0]",0.0,3.83916861819802e-10,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp5,1.2155358806115762e-07,"[1.1098427205622375e-08, 2.378234401204795e-09, 1.5854896008031967e-09, 7.92744800401599e-10, 0.0]",0.0,3.254058860816311e-06,1.1574074074074074e-06,0.0,1e-06,0.0,0.0,0.0055117734724292105,1.111111111111111e-08,3.3333333333333334e-08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
